family_id	domain	name	issuer	object_type	grammar_class	regex_exactness	status	canonical_form	examples	aliases_variations	candidate_regex_python	normalization	required_context	semantic_validation	uniqueness_key_scope	privacy_class	edge_cases	source_ids	repository_ids	confidence
faa.n_number	agency_program_technical	U.S. aircraft registration N‑number	Federal Aviation Administration	aircraft	formal	candidate	current	N + 1–5 characters under FAA digit/letter rules	N12345 | N1234A | N123AB		\bN(?:[1-9]\d{0,4}|[1-9]\d{0,3}[A-HJ-NP-Z]|[1-9]\d{0,2}[A-HJ-NP-Z]{2})\b	Uppercase; remove spaces/hyphens.		Apply FAA formation rules and registry lookup.	FAA aircraft registration namespace	public	Letters I and O are prohibited; first digit cannot be zero; N1–N99 are reserved for FAA internal use; historical NC/NX/NR/NL markings are display categories, not modern base N-number grammar.	faa_nnumber		high
fcc.docket	agency_program_technical	FCC docket number	Federal Communications Commission	proceeding	controlled	broad	current	Bureau/proceeding prefix + YY-serial, or RM-series	WC Docket No. 19-195 | GN Docket No. 23-65 | ET Docket No. 24-1 | RM-12345		(?i)\b(?:(?P<type>WC|GN|ET|MB|WT|PS|CG|CC|EB)\s+Docket\s+No\.?\s*(?P<year>\d{2})-(?P<number>\d{1,3})|RM-(?P<rm>\d{3,6}))\b	Uppercase prefix; preserve serial.		Lookup in ECFS and update docket-prefix list.	FCC docket namespace	public	Several dockets can be joined in one proceeding; older CC/MM/PR and other series exist.	fcc_uls		high
fcc.facility_id	agency_program_technical	FCC broadcast Facility ID	Federal Communications Commission	broadcast facility	formal	contextual	current	Numeric identifier of variable length	12345 | 74167		\b\d{1,7}\b	Integer; preserve source display.	Explicit FCC Facility ID field.	Lookup in FCC LMS/CDBS facility data.	FCC facility namespace	public	Bare number is unusable without Facility ID/broadcast context; call signs can change while facility ID persists.	fcc_uls		high
fcc.frn	agency_program_technical	FCC Registration Number (FRN)	Federal Communications Commission	person/entity registrant	formal	contextual	current	Ten digits	0001234567		\b\d{10}\b	Preserve leading zeros.	FCC FRN/CORES context.	Lookup in FCC CORES where permitted.	FCC FRN namespace	sensitive	Ten digits collide with NPI/CIK/FEI; FRN can be associated with sensitive registration data.	fcc_frn		high
fcc.id	agency_program_technical	FCC equipment authorization ID	Federal Communications Commission	radio-frequency device authorization	formal	broad	current	Grantee code + product code, commonly printed with optional hyphen	ABC123 | 2ABCD-XYZ123		(?i)\b[A-Z0-9]{3,5}-?[A-Z0-9._-]{1,14}\b	Uppercase; preserve/display grantee-product boundary from FCC registry.	FCC ID label/device context.	Lookup in FCC equipment authorization database; validate grantee code.	FCC equipment authorization namespace	public	The grantee-code length rules changed; no-space labels and logos complicate OCR. Broad regex has extreme collision risk.	fcc_uls		medium
fec.candidate_id	agency_program_technical	FEC candidate ID	Federal Election Commission	federal candidate	formal	candidate	current	Nine uppercase alphanumeric characters beginning H, S, or P	H8VA01233 | S0NY00188 | P80001571		\b[HSP][A-Z0-9]{8}\b	Uppercase.	FEC/candidate/campaign-finance context.	Lookup in FEC candidate data and validate office/state/district semantics.	FEC candidate namespace	public	Presidential IDs have different internal semantics from House/Senate IDs; election-cycle digit does not alone establish candidate identity over time.	fec_ids		high
fec.committee_id	agency_program_technical	FEC committee ID	Federal Election Commission	political committee	formal	candidate	current	C + eight digits	C00483677		\bC\d{8}\b	Uppercase C.		Lookup in FEC committee data.	FEC committee namespace	public	Committees can terminate, change names or be affiliated; ID persists in filings.	fec_ids		high
fema.declaration_variant	agency_program_technical	FEMA declaration/document display variant	Federal Emergency Management Agency	disaster declaration	alias	candidate	current	FEMA-{serial}-{DR|EM|FM}	FEMA-4652-DR | FEMA-3591-EM		(?i)\bFEMA-(?P<number>\d{1,4})-(?P<type>DR|EM|FM)\b	Normalize to type-number and link state/date from registry.		Lookup FEMA declarations.	FEMA declaration namespace	public	Same object as DR-####-ST style, not a second identifier; state may be omitted.	fema_disasters		high
fema.disaster_number	agency_program_technical	FEMA disaster declaration number	Federal Emergency Management Agency / President	disaster declaration	formal	candidate	current	{DR|EM|FM|historical FSA}-{serial}[-state/territory]	DR-4036-DC | EM-3652-HI | FM-5478-CA | FSA-2005-AK		(?i)\b(?P<type>DR|EM|FM|FSA)-(?P<number>\d{1,4})(?:-(?P<state>[A-Z]{2}))?\b	Uppercase type/state; preserve serial.		Lookup FEMA declarations and incident type/state.	FEMA declaration type + serial	public	Public declaration ID can be printed as FEMA-####-DR, DR-####-ST, or just ####; Regulations.gov docket IDs such as FEMA-2022-0001 are unrelated.	fema_disasters		high
ferc.accession_number	agency_program_technical	FERC eLibrary accession number	Federal Energy Regulatory Commission	filed/issued document	formal	candidate	current	YYYYMMDD-four-digit sequence	19940824-0052 | 20240115-5001		\b(?P<date>\d{8})-(?P<sequence>\d{4})\b	Preserve zero padding.		Validate date and lookup in eLibrary.	FERC eLibrary accession namespace	public	Accession date can be filing/processing-related; not the docket number.	ferc		high
ferc.docket	agency_program_technical	FERC docket/subdocket number	Federal Energy Regulatory Commission	proceeding	compound	heuristic	current	Proceeding-type prefix + two-digit year + serial + optional three-digit subdocket	ER11-4046-001 | CP13-113-000 | RM96-1-000		(?i)\b(?P<type>[A-Z]{1,4})(?P<year>\d{2})-(?P<serial>\d{1,5})(?:-(?P<sub>\d{3}))?\b	Uppercase type; preserve zero padding.	FERC/docket context.	Lookup in FERC eLibrary and validate docket-type code.	FERC docket namespace	public	Subdocket suffix is significant; letter prefixes vary widely and historical proceedings have other formats.	ferc		high
ferc.order_opinion_number	agency_program_technical	FERC order/opinion number	Federal Energy Regulatory Commission	precedential order/opinion	formal	candidate	current	{Order|Opinion} No. serial[-letter revision]	Order No. 888-A | Opinion No. 409-A		(?i)\b(?P<type>Order|Opinion)\s+No\.?\s*(?P<number>\d+)(?:-(?P<revision>[A-Z]))?\b	Capitalize type; uppercase revision.		Lookup FERC order/opinion index.	FERC instrument series + number + revision	public	Lettered rehearing/revision is part of the cited instrument; one order may span many dockets.	ferc		high
fmcsa.docket_number_legacy	agency_program_technical	FMCSA operating-authority docket number	FMCSA / predecessors	motor carrier authority	formal	candidate	current_legacy_transition	{MC|FF|MX} + serial	MC 123456 | FF-12345 | MX 123456		(?i)\b(?P<type>MC|FF|MX)[- ]?(?P<number>\d{1,7})\b	Uppercase prefix; canonical display prefix-space-number.		Lookup in FMCSA Licensing & Insurance; retain while active/historical.	FMCSA authority series + number	public	FMCSA has proposed moving to USDOT-based identifiers, but MC/FF/MX numbers remain necessary for historical/current records until authoritative retirement.	fmcsa		high
fmcsa.usdot	agency_program_technical	USDOT number	Federal Motor Carrier Safety Administration	motor carrier/entity	formal	contextual	current	Numeric FMCSA carrier identifier	USDOT 1234567 | 1234567		(?i)\b(?:USDOT\s*(?:No\.?\s*)?)?(?P<number>\d{1,9})\b	Store integer plus displayed digits; do not invent padding.	USDOT/FMCSA/carrier context.	Lookup in SAFER/FMCSA.	FMCSA USDOT namespace	public	Historical length grows over time; proposed modernization adds registration-type suffix letters, but unsuffixed numeric USDOT remains the established public identifier until final implementation data says otherwise.	fmcsa		high
fmcsa.usdot_registration_suffix	agency_program_technical	Proposed FMCSA USDOT registration-type suffix	Federal Motor Carrier Safety Administration	registration authority type	future_proposed	lookup	proposed	USDOT number + one or more controlled suffix letters	1234567C | 1234567CH		\b\d{1,9}[CVPHBFEXZNR]{1,3}\b	Uppercase suffix; split base USDOT and type codes.		Apply only when FMCSA final rules/system documentation show the suffix is operational; validate code combination.	USDOT + registration-type code	public	As of the 2026 proposal/modernization materials, suffix adoption and legacy MC-number phaseout are not universal final-state assumptions.	fmcsa		high
geo.cbsa_code	agency_program_technical	Core Based Statistical Area code	Office of Management and Budget / Census Bureau	metropolitan/micropolitan area	controlled	lookup	current	Five digits	47900 | 35620		^\d{5}$	Preserve leading zeros.	CBSA field.	Lookup OMB delineation/vintage.	delineation vintage + CBSA code	public	Same shape as ZIP/FIPS combined codes; area composition and code can change with OMB delineations.	census_geography		high
geo.census_block_geoid	agency_program_technical	Census block GEOID	U.S. Census Bureau	census block	compound	lookup	current	2 state + 3 county + 6 tract + 1 block group + 3 block digits	110010001001001		^\d{15}$	Preserve leading zeros.	Census block GEOID field.	Lookup census vintage.	vintage + 15-digit GEOID	public	Block identity is vintage-specific; redistricting/decennial products can expose related variants.	census_geography		high
geo.census_block_group_geoid	agency_program_technical	Census block group GEOID	U.S. Census Bureau	block group	compound	lookup	current	11-digit tract GEOID + one block-group digit	110010001001		^\d{12}$	Preserve leading zeros.	Census block group GEOID field.	Lookup census vintage.	vintage + 12-digit GEOID	public	Same shape as EPA 12-digit IDs; field/context required.	census_geography		high
geo.census_place_geoid	agency_program_technical	Census place GEOID	U.S. Census Bureau	place	compound	lookup	current	Two-digit state + five-digit place code	1150000 | 0644000		^\d{7}$	Preserve leading zeros.	Census place GEOID field.	Lookup geography vintage.	vintage + state + place	public	Place code can be compared only within state/vintage; seven digits collide with school/agency IDs.	census_geography		high
geo.census_tract_geoid	agency_program_technical	Census tract GEOID	U.S. Census Bureau	census tract	compound	lookup	current	2 state + 3 county + 6 tract digits	11001000100 | 06037101110		^\d{11}$	Preserve leading zeros and implied tract decimal.	Census tract GEOID field.	Lookup census vintage/geography.	vintage + 11-digit GEOID	public	Tract codes can contain implied decimal; boundaries/codes change by decennial vintage.	census_geography		high
geo.fips_county	agency_program_technical	FIPS/ANSI county code	Census Bureau / ANSI	county-equivalent geography	controlled	lookup	current	Three digits, unique only within state	001 | 510		^\d{3}$	Preserve leading zeros.	FIPS county field.	Lookup with state code and vintage.	vintage + state FIPS + county FIPS	public	County code alone is not national; independent cities/territories and reorganizations create edge cases.	fips_codes		high
geo.fips_state	agency_program_technical	FIPS/ANSI state code	Census Bureau / ANSI	state/territory geography	controlled	lookup	current	Two digits	11 | 06 | 72		^\d{2}$	Preserve leading zero.	FIPS state field.	Lookup edition/current ANSI code list.	code-list edition + state code	public	Two digits alone are never self-identifying; historical codes/status changes require effective dates.	fips_codes		high
geo.fips_state_county	agency_program_technical	Combined state-county FIPS code	Census Bureau / ANSI	county-equivalent geography	compound	lookup	current	Two-digit state + three-digit county	11001 | 06037		^\d{5}$	Preserve leading zeros.	Combined county GEOID/FIPS field.	Split 2+3 and lookup vintage.	vintage + combined code	public	Same five-digit shape as ZIP/ZCTA/CBSA and other geography codes; field semantics are mandatory.	fips_codes | census_geography		high
geo.gnis_feature_id	agency_program_technical	GNIS Feature ID	U.S. Geological Survey / U.S. Board on Geographic Names	named geographic feature	formal	contextual	current	Numeric feature identifier	529870 | GNIS 2390664		(?i)\b(?:GNIS(?:\s+Feature)?\s*(?:ID|No\.?)?\s*)?(?P<number>\d{1,10})\b	Store integer.	GNIS field/label.	Lookup GNIS; require field/URL when unlabeled.	GNIS namespace	public	Names and coordinates can change while Feature ID persists; numeric shape is generic.	gnis		high
justice.ori	agency_program_technical	Originating Agency Identifier (ORI)	FBI/NCIC and criminal-justice networks	agency	controlled	lookup	current	Common nine-character alphanumeric agency code	VA1234567 | CA034015G		\b[A-Z]{2}[A-Z0-9]{7}\b	Uppercase.	ORI/NCIC/law-enforcement field.	Exact lookup in NCIC/authorized ORI tables; apply dissemination restrictions.	ORI namespace	sensitive	State-prefix convention has exceptions for federal/tribal/international agencies; not all ORI directories are public. Shape collides with many IDs.	niem	niem_repo	high
legal.ferc_citation	agency_program_technical	FERC reporter citation	Federal Energy Regulatory Commission	published decision/order	formal	candidate	current	Volume FERC paragraph division,number	99 FERC ¶ 61,123 | 99 FERC ¶ 62,030		(?i)\b(?P<volume>\d{1,3})\s+FERC\s+(?:¶|P)\s*(?P<division>\d{2}),(?P<number>\d{3})\b	Normalize paragraph symbol and comma.		Resolve to FERC order/decision.	FERC reporter + volume + paragraph	public	Division 61/62 and reporter conventions matter; citation is distinct from docket/accession/order number.	ferc	eyecite | reporters_db	high
nara.accession_number	agency_program_technical	NARA accession number	National Archives and Records Administration	records transfer/accession	historical	broad	current	Era/office-record-group-year-sequence, with historical variants	NRFFA-276-99-0001 | NN3-059-99-001		(?i)\bN[A-Z0-9]{1,6}-\d{2,4}-\d{2}-\d{3,4}\b	Uppercase; preserve punctuation.	NARA accession context.	Validate in accession/catalog records.	NARA accession namespace	public	Legacy accession systems use several prefixes and component lengths; broad regex is not exhaustive.	nara_ids		high
nara.local_identifier	agency_program_technical	NARA local identifier	NARA or creating archival unit	archival record	delegated	none	current	Creator/unit-specific text, up to catalog field limits	Local ID: 306-NT-174.1 | RG 59 Entry A1-123			Preserve exact raw and archival unit.	NARA Local Identifier field.	Validate from NARA Catalog metadata.	archival unit + local identifier	public	No universal grammar; local IDs are only unique within the creating/cataloging unit and can contain punctuation/spaces.	nara_ids		high
nara.naid	agency_program_technical	National Archives Identifier (NAID)	National Archives and Records Administration	archival description/object	formal	contextual	current	Numeric Catalog identifier	1234567 | NAID 246789		(?i)\bNAID\s*(?:No\.?\s*)?(?P<number>\d+)\b	Store integer; retain labeled raw form.	NAID label or catalog URL/API.	Lookup in National Archives Catalog.	NARA Catalog namespace	public	Bare numeric value is unusable without NAID field/URL. A description can cover a series/file/item and may have digital-object children.	nara_ids		high
nara.record_group	agency_program_technical	NARA Record Group number	National Archives and Records Administration	record group	formal	candidate	current	RG + 1–3 digit number	RG 59 | Record Group 330		(?i)\b(?:RG|Record\s+Group)\s*(?:No\.?\s*)?(?P<number>\d{1,3})\b	Normalize label to RG.		Lookup NARA record-group authority data.	NARA record-group namespace	public	Not an item identifier; record groups contain many series/accessions and organizational history.	nara_ids		high
nhtsa.recall_campaign	agency_program_technical	NHTSA recall campaign number	National Highway Traffic Safety Administration	safety recall campaign	controlled	lookup	current	Two-digit year + category letter + six digits	24V123000 | 23E045000 | 22T001000		\b\d{2}[A-Z]\d{6}\b	Uppercase category letter; preserve zeros.	Recall/NHTSA context.	Lookup NHTSA recalls API; validate category.	NHTSA recall namespace	public	Manufacturer campaign numbers are separate and agency category letters differ for vehicles/equipment/tires/child seats.	nhtsa_recalls		high
nih.grant_number	agency_program_technical	NIH grant/application/award number	National Institutes of Health	grant/award/application	compound	heuristic	current	Application type + activity code + institute/center + six-digit serial + support year + suffixes	1R01AI123456-01A1S1 | R01GM987654 | 5P30CA012345-40		(?i)\b(?P<app_type>\d)?(?P<activity>[A-Z]\d{2})(?P<ic>[A-Z]{2})(?P<serial>\d{6})(?:-(?P<support>\d{2}))?(?P<suffixes>(?:[A-Z]\d+)*)\b	Remove spaces; uppercase; parse all components.	NIH/grant context.	Validate activity/IC codes, serial and suffix semantics against NIH RePORTER/award data.	funding agency + component tuple	public	Application type, support year, amendment A#, supplement S# and fellowship identifiers are components; compact numbers omit some fields. Other HHS agencies reuse NIH-style grant numbers.	nih_grants		high
nist.fips_publication	agency_program_technical	FIPS publication identifier	National Institute of Standards and Technology	standard/publication	formal	candidate	current	FIPS [PUB] number[-revision]	FIPS 140-3 | FIPS PUB 201-3		(?i)\bFIPS(?:\s+PUB)?\s+(?P<number>\d{1,3})(?:-(?P<revision>\d+))?\b	Uppercase FIPS; normalize spaces.		Lookup NIST publication and withdrawal/supersession status.	NIST FIPS publication namespace	public	FIPS number/revision is a publication identifier, not a compliant-product certificate.	nist_pubs		high
nist.nistir	agency_program_technical	NIST Interagency/Internal Report identifier	National Institute of Standards and Technology	publication	formal	candidate	current	NISTIR/NIST IR + number + optional letter	NISTIR 8286A | NIST IR 8200		(?i)\bNIST\s*I?R\s*(?P<number>\d{3,5})(?P<suffix>[A-Z])?\b	Normalize to NISTIR.		Lookup NIST publication.	NISTIR namespace	public	Letter suffix can denote a distinct report in a series, not merely a revision.	nist_pubs		high
nist.special_publication	agency_program_technical	NIST Special Publication identifier	National Institute of Standards and Technology	publication	formal	candidate	current	SP series-number[-part/letter] + revision	NIST SP 800-53 Rev. 5 | SP 800-171A Rev. 3 | NIST SP 1800-1		(?i)\b(?:NIST\s+)?SP\s+(?P<series>\d{3,4})-(?P<number>\d{1,4}[A-Z]?)(?:-(?P<part>\d+))?(?:\s+Rev\.?\s*(?P<rev>\d+))?\b	Uppercase SP/letter; parse revision separately.		Lookup NIST publication version/supersession.	NIST SP series + number + part + revision	public	Parts, appendices and update errata are version locators; citation without revision can be ambiguous.	nist_pubs		high
osha.inspection_number	agency_program_technical	OSHA inspection/activity number	Occupational Safety and Health Administration	inspection	formal	broad	current	System-assigned numeric/activity value	Inspection Number 1640157 | Activity Nr 1234567		(?i)\b(?:Inspection\s+(?:No\.?|Number)|Activity\s+(?:Nr\.?|No\.?))\s*(?P<number>\d{5,10}(?:\.\d{3})?)\b	Preserve punctuation and leading zeros.	Explicit OSHA inspection/activity label.	Validate in OSHA establishment/inspection data.	OSHA inspection system namespace	public	Legacy IMIS and newer systems expose differing display forms; numeric shape alone is not reliable.	osha_inspection		high
platform.data_gov_dataset	agency_program_technical	Data.gov/agency dataset identifier	Data.gov or source agency catalog	dataset	platform	none	current	Platform- or agency-specific UUID/slug	CKAN UUID | agency dataset slug			Preserve source catalog URL, platform ID and source-system ID separately.		Validate through catalog API.	catalog instance + platform ID	public	Data.gov aggregates catalogs; a CKAN UUID/slug is not necessarily the source agency's durable identifier and migrations can change it.	govinfo_collections		high
pubmed.pmcid	agency_program_technical	PubMed Central ID (PMCID)	National Library of Medicine	full-text article	formal	candidate	current	PMC + digits	PMC1234567 | PMCID: PMC1234567		(?i)\b(?:PMCID\s*:?\s*)?PMC(?P<number>\d+)\b	Uppercase PMC.		Lookup PMC and crosswalk to PMID/DOI.	PMC namespace	public	PMCID identifies full-text archive object and is not interchangeable with PMID.	pubmed		high
pubmed.pmid	agency_program_technical	PubMed ID (PMID)	National Library of Medicine	bibliographic citation	formal	candidate	current	Numeric PubMed record identifier	PMID: 12345678		(?i)\bPMID\s*:?\s*(?P<number>\d{1,9})\b	Store integer.	PMID label or NCBI URL/API.	Lookup PubMed.	PubMed namespace	public	Bare digits are unusable; corrections/versions are linked records, not embedded in PMID.	pubmed		high
records.foia_tracking	agency_program_technical	FOIA request/tracking number (generic open class)	Individual federal agency/component	FOIA request	delegated	none	current	Agency/system-defined	DOJ-2024-001234 | 2024-FOIA-12345 | FOIA Request No. 24-123			Preserve raw, agency/component and received date.	Explicit FOIA request/appeal context.	Validate in the issuing agency's FOIA portal/log.	agency/component + tracking number	sensitive	No government-wide grammar; agencies migrate portals and can expose separate request, appeal, referral and case numbers.	foia_gov		high
scholarly.doi	agency_program_technical	Digital Object Identifier (DOI)	DOI Foundation/registration agencies	digital object	standards	heuristic	current	10. + registrant prefix + slash + case-sensitive suffix	10.1000/xyz123 | https://doi.org/10.1038/s41586-024-00000-0		(?i)\b10\.\d{4,9}/[-._;()/:A-Z0-9]+\b	Strip doi: or resolver URL; preserve suffix case for round-trip, use case-folded lookup alias.		Resolve through DOI registry; candidate regex is intentionally conservative.	DOI namespace	public	The DOI specification permits a broader suffix character space than most regexes; trailing punctuation/parentheses require balanced parsing. DOI is not federal-issued.	doi		high
sec.accession_number	agency_program_technical	SEC EDGAR accession number	Securities and Exchange Commission	filing submission	compound	candidate	current	10-digit submitting CIK + two-digit year + six-digit sequence	0001193125-15-118890 | 000119312515118890		\b\d{10}-?\d{2}-?\d{6}\b	Canonical display NNNNNNNNNN-YY-NNNNNN; filenames often remove hyphens.		Validate accession in EDGAR; first ten digits identify submitter, not always subject company.	SEC accession namespace	public	One filing can contain many documents; amendments have separate accession numbers and form types.	sec_edgar		high
sec.ccc	agency_program_technical	SEC EDGAR CIK Confirmation Code (CCC)	Securities and Exchange Commission	filing authentication secret	secret	none	current	Eight case-sensitive characters with SEC composition rules	a1B2c3@4			Never normalize or log; redact.	EDGAR filing credential field.	Validate only in authenticated EDGAR filing workflow.	CIK account + credential	secret	Secret credential, not a public identifier. Do not extract into search indexes or knowledge graphs.	sec_edgar		high
sec.cik	agency_program_technical	SEC Central Index Key (CIK)	Securities and Exchange Commission	EDGAR filer/entity	formal	contextual	current	Numeric identifier up to ten digits; EDGAR often zero-pads to ten	0000320193 | 320193		\b\d{1,10}\b	Store numeric value plus ten-digit zero-padded display alias.	CIK/EDGAR field or URL.	Lookup in EDGAR company data.	SEC CIK namespace	public	Leading zeros are formatting, not a different filer; bare digits collide widely. A filer can change names/tickers without changing CIK.	sec_edgar		high
sec.file_number	agency_program_technical	SEC file number	Securities and Exchange Commission	registration/admin/rulemaking file	delegated	broad	current	Program-specific prefix and serial	001-36743 | 333-123456 | 3-12345 | S7-01-24		(?i)\b(?:\d{3}-\d{4,6}|3-\d{4,6}|S7-\d{2}-\d{2})\b	Uppercase letter prefixes; preserve zero padding.	SEC File No. label.	Interpret/validate by SEC form/release/program.	SEC program + file number	public	No single SEC file-number grammar: company registration, Securities Act, administrative proceedings and rulemaking use different series.	sec_edgar		high
sec.release_number	agency_program_technical	SEC release number	Securities and Exchange Commission	release/order	controlled	lookup	current	Release-series prefix + serial	Release No. 34-100123 | IA-6543 | IC-35000 | 33-11234		(?i)\b(?:Release\s+No\.?\s*)?(?P<series>33|34|35|39|40|IA|IC|LR|AAER)-(?P<number>\d{3,6})\b	Uppercase series.		Lookup SEC releases; update controlled series list.	SEC release series + number	public	A release may also carry file number, administrative proceeding number and Federal Register document number.	sec_edgar		high
supply.iuid_uii	agency_program_technical	Item Unique Identification / Unique Item Identifier (IUID/UII)	Department of Defense	individual tangible item	compound	none	current	Concatenated enterprise identifier, serial and sometimes part/lot components	Construct 1/Construct 2 UII			Preserve data qualifiers and issuer/enterprise-ID type.	IUID/UII item-marking context.	Validate according to MIL-STD-130/IUID construct and registry.	IUID construct + enterprise namespace + components	public	No single regex: CAGE/DUNS/DoDAAC enterprise IDs, serials and part/lot values create multiple constructs; data-matrix encoding includes identifiers/qualifiers.	nsn		high
supply.milstrip_document_number	agency_program_technical	MILSTRIP document number	Department of Defense	requisition/transaction	compound	heuristic	current	Six-character DoDAAC + one-digit year + three-digit Julian day + four-character serial	W25G1U42520001		\b[A-Z0-9]{6}\d{4}[A-Z0-9]{4}\b	Uppercase; parse DoDAAC/date/serial.	MILSTRIP/requisition context.	Validate DoDAAC, Julian date and transaction context.	DoDAAC + date + serial	public	One-digit year requires decade inference from context; supplementary address/suffix fields may be printed adjacent.	dodaac | nsn		medium
supply.niin	agency_program_technical	National Item Identification Number (NIIN)	Defense Logistics Agency / NATO codification system	supply item	formal	candidate	current	Nine digits: two-digit codification bureau + seven-digit item number	01-123-4567 | 011234567		\b\d{2}-?\d{3}-?\d{4}\b	Remove separators.	NIIN/NSN/supply context.	Lookup in FLIS; distinguish from SSN and other nine-digit values.	NIIN namespace	public	NIIN is not the full NSN because it omits Federal Supply Class.	nsn		high
supply.nsn	agency_program_technical	National Stock Number (NSN)	Defense Logistics Agency / NATO codification system	supply item	compound	candidate	current	Four-digit FSC + nine-digit NIIN; 13 digits total	5305-01-123-4567 | 5305011234567		\b\d{4}-?\d{2}-?\d{3}-?\d{4}\b	Remove separators; parse FSC 4 + NIIN 9.		Lookup in FLIS/WebFLIS and validate country/codification bureau segment.	NATO codification NSN namespace	public	NIIN is the final nine digits and can be cited alone; legacy Federal Stock Numbers predate NSN.	nsn		high
uscg.vessel_official_number	agency_program_technical	U.S. Coast Guard official vessel number	U.S. Coast Guard National Vessel Documentation Center	documented vessel	formal	contextual	current	Permanent six- or seven-digit official number (common modern/historical)	1234567 | 654321		\b\d{6,7}\b	Preserve number without inventing padding.	USCG Official No./documented vessel context.	Lookup documented-vessel registry.	USCG vessel documentation namespace	public	Not the state registration number, IMO number, MMSI or hull identification number; bare digits collide heavily.	uscg_vessel		medium
